person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,183,1955,10.873154,,,
unknown,184,2022,11.585885,,,
unknown,185,2079,13.452202,,,
unknown,186,2109,15.425435,,,
unknown,187,2113,17.416717,,,
unknown,188,2093,19.559248,,,
unknown,189,2029,21.523110,,,
unknown,190,1950,22.448340,,,
unknown,191,1854,22.091561,,,
unknown,192,1753,20.480669,,,
unknown,193,1658,17.223131,,,
unknown,194,1581,13.024870,,,
unknown,195,1520,7.731307,,,
unknown,196,1498,1.257939,,,
unknown,197,1509,-6.311973,,,
unknown,198,1535,-13.754845,,,
unknown,199,1597,-20.928080,,,
unknown,200,1663,-27.817131,,,
unknown,201,1744,-33.991840,,,
unknown,202,1825,-38.829243,,,
unknown,203,1904,-42.009242,,,
unknown,204,1968,-43.379034,,,
unknown,205,2022,-42.545655,,,
unknown,206,2061,-40.334195,,,
unknown,207,2067,-36.547840,,,
unknown,208,2042,-31.312847,,,
unknown,209,1995,-24.743517,,,
unknown,210,1919,-18.243633,,,
unknown,211,1833,-12.049270,,,
unknown,212,1737,-6.207950,,,
unknown,213,1647,-1.258555,,,
unknown,214,1574,2.078479,,,
unknown,215,1517,3.397453,,,
unknown,216,1494,2.691974,,,
unknown,217,1501,-0.497040,,,
unknown,218,1530,-5.203053,,,
unknown,219,1585,-11.608865,,,
unknown,220,1651,-19.482018,,,
unknown,221,1734,-28.652617,,,
unknown,222,1813,-37.462926,,,
unknown,223,1893,-45.588566,,,
unknown,224,1955,-53.092563,,,
unknown,225,2003,-59.323198,,,
unknown,226,2035,-63.875810,,,
unknown,227,2042,-66.339821,,,
unknown,228,2023,-66.733714,,,
unknown,229,1969,-64.681645,,,
unknown,230,1898,-61.290081,,,
unknown,231,1807,-56.444857,,,
unknown,232,1710,-50.523125,,,
unknown,233,1616,-43.791931,,,
unknown,234,1533,-37.693952,,,
unknown,235,1479,-32.630617,,,
unknown,236,1462,-28.468767,,,
unknown,237,1471,-25.840939,,,
unknown,238,1503,-25.120446,,,
unknown,239,1563,-26.687554,,,
unknown,240,1631,-30.109596,,,
unknown,241,1709,-35.692815,,,
unknown,242,1788,-42.070015,,,
unknown,243,1867,-49.171156,,,
unknown,244,1935,-56.733729,,,
unknown,245,1986,-64.321033,,,
unknown,246,2021,-70.934573,,,
unknown,247,2029,-76.145592,,,
unknown,248,2007,-79.968161,,,
unknown,249,1956,-81.858790,,,
unknown,250,1883,-83.253587,,,
unknown,251,1791,-83.974631,,,
unknown,252,1691,-84.726754,,,
unknown,253,1598,-85.859197,,,
unknown,254,1506,-89.582768,,,
unknown,255,1442,-96.513900,,,
unknown,256,1407,-107.378592,,,
unknown,257,1392,-123.239859,,,
unknown,258,1398,-144.831272,,,
unknown,259,1418,-173.066781,,,
unknown,260,1446,-207.339298,,,
unknown,261,1478,-248.362429,,,
unknown,262,1515,-293.611700,,,
unknown,263,1535,-343.105867,,,
unknown,264,1563,-394.175332,,,
unknown,265,1566,-445.880122,,,
unknown,266,1557,-493.808822,,,
unknown,267,1520,-536.222672,,,
unknown,268,1472,-570.144136,,,
unknown,269,1415,-592.993381,,,
unknown,270,1359,-601.662278,,,
unknown,271,1296,-593.443655,,,
unknown,272,1255,-567.201271,,,
unknown,273,1232,-520.282947,,,
unknown,274,1234,-454.075531,,,
unknown,275,1274,-366.881361,,,
unknown,276,1349,-260.341490,,,
unknown,277,1456,-134.120249,,,
unknown,278,1598,7.616913,,,
unknown,279,1760,164.250074,,,
unknown,280,1943,332.026400,,,
