person_name,time_ms,ecg_raw,ecg_centered_bandpass_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,19,,,26850,26859.541974,24766
unknown,59,,,26920,26861.150599,24794
unknown,99,,,26847,26863.102209,24760
unknown,139,,,26807,26865.393512,24745
unknown,179,,,26859,26868.076032,24770
unknown,219,,,26866,26871.171480,24769
unknown,259,,,26918,26839.580170,24788
unknown,299,,,26891,26769.715933,24781
unknown,339,,,26667,26678.015788,24685
unknown,379,,,26495,26554.273586,24616
unknown,419,,,26397,26496.421638,24573
unknown,459,,,26446,26513.168847,24593
unknown,499,,,26585,26548.742767,24643
unknown,539,,,26647,26629.393219,24670
unknown,579,,,26680,26660.178405,24680
unknown,619,,,26681,26631.040271,24680
unknown,659,,,26657,26610.079943,24669
unknown,699,,,26606,26573.124701,24655
unknown,739,,,26558,26568.527221,24635
unknown,779,,,26551,26606.133746,24635
unknown,819,,,26563,26643.466020,24636
unknown,859,,,26640,26694.229693,24669
unknown,899,,,26694,26722.449845,24687
unknown,939,,,26717,26720.768085,24693
unknown,979,,,26725,26717.501308,24692
unknown,1019,,,26711,26701.898508,24682
unknown,1059,,,26693,26679.920487,24670
unknown,1099,,,26741,26653.660215,24688
unknown,1139,,,26728,26610.674734,24685
unknown,1179,,,26617,26552.055822,24648
unknown,1219,,,26477,26515.027000,24582
unknown,1259,,,26402,26500.645513,24552
unknown,1299,,,26412,26491.401887,24556
unknown,1339,,,26418,26496.597011,24560
unknown,1379,,,26485,26491.366229,24589
unknown,1419,,,26527,26473.587892,24602
unknown,1459,,,26507,26463.227261,24597
unknown,1499,,,26517,26454.576795,24595
unknown,1539,,,26507,26443.586833,24588
unknown,1579,,,26417,26432.092699,24548
unknown,1619,,,26358,26417.886543,24514
unknown,1659,,,26379,26400.388421,24528
unknown,1699,,,26361,26405.640907,24515
unknown,1739,,,26399,26435.458444,24528
unknown,1779,,,26490,26477.040444,24572
unknown,1819,,,26576,26537.388557,24613
unknown,1859,,,26595,26547.196537,24618
unknown,1899,,,26574,26499.813748,24608
unknown,1939,,,26506,26434.158693,24575
unknown,1989,,,26311,26331.309592,24495
unknown,2029,,,26150,26238.381953,24432
unknown,2069,,,26036,26160.053605,24384
unknown,2109,,,25976,26056.950751,24357
unknown,2149,,,25973,25940.045097,24359
unknown,2189,,,25879,25857.804886,24317
unknown,2229,,,25816,25810.638112,24282
unknown,2269,,,25850,25783.745834,24291
unknown,2309,,,25846,25789.948922,24295
unknown,2349,,,25771,25756.705692,24267
unknown,2389,,,25661,25679.725664,24216
unknown,2429,,,25535,25605.530920,24162
unknown,2469,,,25426,25516.687786,24116
unknown,2509,,,25614,25577.968417,24186
unknown,2549,,,25998,25809.253092,24352
unknown,2589,,,25811,25813.099514,24279
unknown,2629,,,25533,25605.392168,24163
unknown,2669,,,25496,25444.206188,24143
unknown,2709,,,25236,25254.503434,24037
unknown,2749,,,24951,25144.007812,23913
unknown,2789,,,25157,25170.947331,23989
unknown,2829,,,25350,25192.064573,24072
unknown,2869,,,25380,25252.613349,24083
unknown,2909,,,25173,25106.736938,23995
unknown,2949,,,24834,24717.399743,23847
unknown,2989,,,24378,24592.818900,23637
unknown,3029,,,24512,24742.274996,23688
unknown,3069,,,25170,25179.587306,23981
unknown,3109,,,25606,25529.184061,24180
unknown,3149,,,25777,25828.387600,24257
unknown,3189,,,25931,25906.831171,24325
unknown,3229,,,26033,26030.074481,24373
unknown,3269,,,26102,26121.487574,24406
unknown,3309,,,26196,26154.785059,24450
unknown,3349,,,26206,26150.271885,24456
unknown,3389,,,26125,26049.511094,24419
unknown,3429,,,25974,25847.164041,24355
unknown,3469,,,25614,25713.674815,24208
unknown,3509,,,25520,25648.071377,24158
unknown,3549,,,25662,25742.957740,24205
unknown,3589,,,25999,26054.915504,24348
unknown,3629,,,26184,26156.694729,24434
unknown,3669,,,26171,26062.540808,24429
unknown,3709,,,26125,26049.482006,24410
unknown,3749,,,26104,26036.816430,24397
unknown,3789,,,25970,25970.629859,24345
unknown,3829,,,25882,25877.772813,24317
unknown,3869,,,25774,25723.419820,24272
unknown,3909,,,25442,25500.452051,24133
unknown,3949,,,25303,25236.721874,24075
unknown,3989,,,24877,24922.494454,23896
unknown,4029,,,24404,24677.684353,23682
unknown,4069,,,24780,24925.732927,23835
unknown,4109,,,25290,25170.695365,24061
unknown,4159,,,25449,25296.738393,24129
unknown,4199,,,25397,25374.464133,24109
unknown,4239,,,25294,25225.325289,24057
unknown,4279,,,25212,25152.012927,24019
unknown,4319,,,25023,25098.344255,23946
unknown,4359,,,25014,25080.209575,23935
unknown,4399,,,25206,25143.964517,24017
unknown,4439,,,25068,25161.199006,23952
unknown,4479,,,25029,25147.010305,23936
unknown,4519,,,25151,25206.001918,23991
unknown,4559,,,25326,25323.634409,24071
unknown,4599,,,25526,25492.708147,24158
unknown,4639,,,25888,25734.250130,24321
unknown,4679,,,25771,25589.392093,24283
unknown,4719,,,25208,25020.204428,24051
unknown,4759,,,24598,24669.081579,23778
unknown,4799,,,24358,24452.660314,23665
unknown,4839,,,24368,24438.705412,23657
unknown,4879,,,24674,24765.245324,23795
unknown,4919,,,25077,25173.453776,23968
unknown,4959,,,25708,25730.600832,24245
unknown,4999,,,26103,26046.660832,24424
