person_name,time_ms,ecg_raw,ecg_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,0,2087,2099.675157,,,
unknown,1,2243,2261.049275,,,
unknown,2,2364,2363.016183,,,
unknown,3,2452,2441.039930,,,
unknown,4,2490,2488.774418,,,
unknown,5,2480,2465.023708,,,
unknown,6,2411,2407.289085,,,
unknown,7,2296,2295.784983,,,
unknown,8,2146,2147.453122,,,
unknown,9,1968,1961.385901,,,
unknown,10,1792,1792.844276,,,
unknown,11,1635,1650.844707,,,
unknown,12,1515,1529.701967,,,
unknown,13,1445,1449.445211,,,
unknown,14,1425,1419.099095,,,
unknown,15,1461,1449.834542,,,
unknown,16,1535,1530.617412,,,
unknown,17,1667,1670.137975,,,
unknown,18,1811,1814.713379,,,
unknown,19,1970,1961.190507,,,
unknown,20,2132,2124.921161,,,
unknown,21,2278,2291.016273,,,
unknown,22,2400,2416.478263,,,
unknown,23,2485,2492.554351,,,
unknown,24,2526,2523.932312,,,
unknown,25,2507,2493.346823,,,
unknown,26,2438,2429.202891,,,
unknown,27,2325,2325.490700,,,
unknown,28,2189,2182.653987,,,
unknown,29,2021,2004.490916,,,
unknown,30,1857,1847.646890,,,
unknown,31,1711,1719.966842,,,
unknown,32,1599,1609.742037,,,
unknown,33,1527,1536.318591,,,
unknown,34,1515,1517.348371,,,
unknown,35,1560,1562.755850,,,
unknown,36,1649,1650.002034,,,
unknown,37,1771,1788.272633,,,
unknown,38,1931,1939.289125,,,
unknown,39,2107,2098.479388,,,
unknown,40,2267,2258.119050,,,
unknown,41,2410,2404.481804,,,
unknown,42,2522,2522.504897,,,
unknown,43,2608,2600.430509,,,
unknown,44,2631,2627.710239,,,
unknown,45,2608,2591.692393,,,
unknown,46,2514,2515.987629,,,
unknown,47,2386,2392.308380,,,
unknown,48,2221,2226.509056,,,
unknown,49,2029,2020.511955,,,
unknown,50,1842,1840.846596,,,
unknown,51,1680,1696.719622,,,
unknown,52,1565,1575.677665,,,
unknown,53,1493,1500.455351,,,
unknown,54,1486,1477.408860,,,
unknown,55,1523,1517.086153,,,
unknown,56,1621,1611.445637,,,
unknown,57,1761,1768.505627,,,
unknown,58,1931,1932.749799,,,
unknown,59,2113,2101.264533,,,
unknown,60,2277,2274.740890,,,
unknown,61,2427,2436.371712,,,
unknown,62,2544,2563.563442,,,
unknown,63,2640,2644.464793,,,
unknown,64,2670,2670.026135,,,
unknown,65,2640,2625.440853,,,
unknown,66,2555,2546.314226,,,
unknown,67,2423,2424.780747,,,
unknown,68,2275,2268.084686,,,
unknown,69,2101,2081.800307,,,
unknown,70,1920,1914.368342,,,
unknown,71,1769,1775.625963,,,
unknown,72,1648,1660.862355,,,
unknown,73,1583,1589.058540,,,
unknown,74,1558,1563.715400,,,
unknown,75,1595,1595.148808,,,
unknown,76,1667,1670.114367,,,
unknown,77,1779,1794.988245,,,
unknown,78,1920,1929.233252,,,
unknown,79,2078,2069.069733,,,
unknown,80,2224,2214.195509,,,
unknown,81,2355,2351.336893,,,
unknown,82,2462,2458.951409,,,
unknown,83,2531,2526.992539,,,
unknown,84,2555,2549.646739,,,
unknown,85,2527,2513.927423,,,
unknown,86,2445,2443.772160,,,
unknown,87,2326,2332.143991,,,
unknown,88,2173,2179.792146,,,
unknown,89,1996,1988.903075,,,
unknown,90,1818,1816.977638,,,
unknown,91,1661,1671.068125,,,
unknown,92,1535,1553.640680,,,
unknown,93,1483,1485.214406,,,
unknown,94,1469,1462.964766,,,
unknown,95,1506,1499.320485,,,
unknown,96,1595,1585.440524,,,
unknown,97,1717,1727.654306,,,
unknown,98,1876,1875.641859,,,
unknown,99,2035,2025.923283,,,
unknown,100,2198,2191.081686,,,
unknown,101,2346,2356.592120,,,
unknown,102,2464,2478.545076,,,
unknown,103,2542,2547.509276,,,
unknown,104,2559,2568.564084,,,
unknown,105,2542,2523.858252,,,
unknown,106,2453,2442.527681,,,
unknown,107,2319,2318.382336,,,
unknown,108,2161,2156.666142,,,
unknown,109,1979,1961.746802,,,
unknown,110,1794,1785.403632,,,
unknown,111,1630,1636.644812,,,
unknown,112,1497,1510.457982,,,
unknown,113,1418,1426.202079,,,
unknown,114,1385,1388.658341,,,
unknown,115,1408,1408.367179,,,
unknown,116,1472,1475.421324,,,
unknown,117,1584,1597.045327,,,
unknown,118,1712,1722.112900,,,
unknown,119,1856,1847.185475,,,
unknown,120,1999,1989.849388,,,
unknown,121,2135,2135.933065,,,
unknown,122,2250,2247.661037,,,
unknown,123,2326,2317.841438,,,
unknown,124,2358,2349.799659,,,
unknown,125,2341,2328.519424,,,
unknown,126,2266,2268.443740,,,
unknown,127,2160,2163.097697,,,
unknown,128,2009,2017.597590,,,
unknown,129,1840,1832.141108,,,
unknown,130,1668,1665.765214,,,
unknown,131,1511,1525.797897,,,
unknown,132,1395,1408.459342,,,
unknown,133,1329,1334.122744,,,
unknown,134,1314,1306.620811,,,
unknown,135,1345,1337.243515,,,
unknown,136,1424,1415.661546,,,
unknown,137,1535,1549.263882,,,
unknown,138,1699,1696.280534,,,
unknown,139,1867,1854.245769,,,
unknown,140,2021,2018.261441,,,
unknown,141,2167,2175.030666,,,
unknown,142,2285,2297.658445,,,
unknown,143,2364,2374.304277,,,
unknown,144,2394,2401.230183,,,
unknown,145,2378,2363.136342,,,
unknown,146,2306,2293.170027,,,
unknown,147,2189,2184.423096,,,
unknown,148,2035,2035.411615,,,
unknown,149,1869,1850.644720,,,
unknown,150,1696,1685.428579,,,
unknown,151,1535,1547.293281,,,
unknown,152,1429,1436.918509,,,
unknown,153,1365,1374.402704,,,
unknown,154,1349,1353.193669,,,
unknown,155,1385,1384.616978,,,
unknown,156,1462,1466.363795,,,
unknown,157,1589,1603.740914,,,
unknown,158,1727,1736.785326,,,
unknown,159,1873,1862.224395,,,
unknown,160,2010,2001.588061,,,
unknown,161,2138,2138.636312,,,
unknown,162,2249,2242.816466,,,
unknown,163,2314,2307.615151,,,
unknown,164,2336,2331.208209,,,
unknown,165,2310,2300.368823,,,
unknown,166,2243,2238.748841,,,
unknown,167,2134,2140.427371,,,
unknown,168,2000,2007.482257,,,
unknown,169,1850,1842.781972,,,
unknown,170,1701,1699.283495,,,
unknown,171,1573,1584.384714,,,
unknown,172,1468,1484.477088,,,
unknown,173,1411,1417.377978,,,
unknown,174,1406,1396.152641,,,
unknown,175,1435,1428.827637,,,
unknown,176,1514,1504.640117,,,
unknown,177,1619,1631.547538,,,
unknown,178,1764,1762.081370,,,
unknown,179,1904,1893.241716,,,
unknown,180,2038,2034.526030,,,
unknown,181,2166,2172.240903,,,
unknown,182,2256,2273.413088,,,
unknown,183,2320,2329.367075,,,
unknown,184,2338,2340.675137,,,
unknown,185,2306,2292.561589,,,
unknown,186,2224,2213.294916,,,
unknown,187,2105,2097.119357,,,
unknown,188,1936,1938.872991,,,
unknown,189,1759,1741.998078,,,
unknown,190,1584,1571.602816,,,
unknown,191,1424,1434.638220,,,
unknown,192,1316,1326.213374,,,
unknown,193,1258,1268.225765,,,
unknown,194,1251,1253.900746,,,
unknown,195,1296,1293.976545,,,
unknown,196,1381,1386.400008,,,
unknown,197,1519,1536.189568,,,
unknown,198,1684,1689.779828,,,
unknown,199,1852,1844.436968,,,
unknown,200,2017,2007.471493,,,
unknown,201,2164,2163.269839,,,
unknown,202,2288,2284.875327,,,
unknown,203,2369,2362.534900,,,
unknown,204,2399,2391.562100,,,
unknown,205,2368,2357.626131,,,
unknown,206,2288,2285.647685,,,
unknown,207,2160,2168.254264,,,
unknown,208,2011,2015.906177,,,
unknown,209,1840,1831.812244,,,
unknown,210,1667,1666.203195,,,
unknown,211,1513,1528.676892,,,
unknown,212,1403,1415.366426,,,
unknown,213,1342,1345.596899,,,
unknown,214,1328,1322.503997,,,
unknown,215,1363,1356.788147,,,
unknown,216,1449,1439.265281,,,
unknown,217,1567,1576.862131,,,
unknown,218,1718,1719.314569,,,
unknown,219,1873,1863.313305,,,
unknown,220,2025,2017.814910,,,
unknown,221,2160,2168.061605,,,
unknown,222,2263,2277.016652,,,
unknown,223,2322,2334.813157,,,
unknown,224,2339,2342.575393,,,
unknown,225,2299,2283.715284,,,
unknown,226,2206,2195.267509,,,
unknown,227,2077,2071.445121,,,
unknown,228,1909,1909.781449,,,
unknown,229,1734,1716.356002,,,
unknown,230,1565,1554.329743,,,
unknown,231,1424,1432.712588,,,
unknown,232,1328,1339.156630,,,
unknown,233,1285,1295.540713,,,
unknown,234,1296,1297.946620,,,
unknown,235,1357,1355.397232,,,
unknown,236,1456,1463.102166,,,
unknown,237,1610,1625.620834,,,
unknown,238,1779,1789.034215,,,
unknown,239,1957,1949.462949,,,
unknown,240,2128,2115.250712,,,
unknown,241,2278,2270.116557,,,
unknown,242,2395,2391.557777,,,
unknown,243,2471,2470.136490,,,
unknown,244,2499,2498.254540,,,
unknown,245,2477,2462.680870,,,
unknown,246,2401,2396.656519,,,
unknown,247,2286,2293.489713,,,
unknown,248,2143,2149.378020,,,
