person_name,time_ms,ecg_raw,ecg_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,19,,,26085,26124.190047,23593
unknown,59,,,26126,26149.377831,23600
unknown,99,,,26157,26169.538245,23613
unknown,139,,,26195,26181.603574,23627
unknown,179,,,26236,26206.939890,23636
unknown,219,,,26268,26240.874419,23649
unknown,259,,,26265,26234.067729,23648
unknown,299,,,26193,26184.633300,23619
unknown,339,,,26111,26151.048507,23591
unknown,379,,,26088,26124.190293,23583
unknown,429,,,26096,26109.200094,23589
unknown,469,,,26113,26117.733839,23598
unknown,509,,,26127,26114.857270,23600
unknown,549,,,26121,26104.646036,23593
unknown,589,,,26099,26104.820102,23592
unknown,629,,,26093,26110.256777,23587
unknown,669,,,26110,26114.593712,23585
unknown,709,,,26129,26119.416485,23598
unknown,749,,,26144,26133.564557,23609
unknown,789,,,26172,26156.830314,23622
unknown,829,,,26194,26185.039431,23628
unknown,869,,,26217,26220.198317,23635
unknown,909,,,26219,26232.192787,23646
unknown,949,,,26231,26217.886035,23646
unknown,989,,,26233,26189.891230,23644
unknown,1029,,,26159,26139.355816,23618
unknown,1069,,,26046,26086.917188,23577
unknown,1109,,,25987,26033.047350,23550
unknown,1149,,,25990,26008.137108,23550
unknown,1189,,,26001,26020.970260,23556
unknown,1229,,,26014,26009.066858,23558
unknown,1269,,,26012,25979.558926,23557
unknown,1309,,,25985,25971.359559,23551
unknown,1349,,,25973,25975.405488,23542
unknown,1389,,,25984,25978.978591,23552
unknown,1429,,,26000,25986.853049,23557
unknown,1469,,,26011,26001.436147,23563
unknown,1509,,,26013,26021.711204,23566
unknown,1549,,,26034,26046.071387,23572
unknown,1589,,,26060,26074.666881,23580
unknown,1629,,,26096,26108.319662,23592
unknown,1669,,,26140,26146.702133,23605
unknown,1709,,,26180,26156.169711,23618
unknown,1749,,,26175,26133.310137,23616
unknown,1789,,,26095,26093.618899,23586
unknown,1829,,,25998,26027.284549,23553
unknown,1869,,,25965,25996.258257,23538
unknown,1909,,,25998,26005.514125,23546
unknown,1949,,,26035,26016.447666,23563
unknown,1989,,,26062,26044.862718,23572
unknown,2029,,,26069,26053.960003,23573
unknown,2069,,,26041,26038.356329,23566
unknown,2109,,,26017,26028.779595,23556
unknown,2149,,,25996,26015.718574,23554
unknown,2189,,,25985,25999.661777,23549
unknown,2229,,,25965,25983.613703,23544
unknown,2269,,,25951,25959.810270,23542
unknown,2309,,,25937,25928.865499,23538
unknown,2349,,,25923,25903.283417,23533
unknown,2389,,,25902,25882.659833,23526
unknown,2429,,,25893,25861.321745,23523
unknown,2469,,,25874,25841.993268,23519
unknown,2509,,,25778,25760.542675,23484
unknown,2559,,,25591,25610.311239,23416
unknown,2599,,,25469,25500.916835,23369
unknown,2639,,,25407,25421.966164,23344
unknown,2679,,,25315,25336.637647,23303
unknown,2719,,,25254,25265.680865,23281
unknown,2759,,,25236,25226.629270,23268
unknown,2799,,,25204,25222.306562,23255
unknown,2839,,,25196,25222.327379,23254
unknown,2879,,,25234,25231.051306,23276
unknown,2919,,,25293,25272.238943,23303
unknown,2959,,,25351,25342.422061,23326
unknown,2999,,,25423,25403.403639,23350
unknown,3039,,,25480,25456.144938,23374
unknown,3079,,,25524,25518.695726,23388
unknown,3119,,,25582,25582.579336,23407
unknown,3159,,,25609,25615.144074,23418
unknown,3199,,,25611,25613.305957,23420
unknown,3239,,,25611,25585.375719,23422
unknown,3279,,,25553,25520.893484,23403
unknown,3319,,,25361,25397.653481,23334
unknown,3359,,,25158,25209.595678,23259
unknown,3399,,,25116,25126.670071,23240
unknown,3439,,,25137,25156.198528,23254
unknown,3479,,,25161,25160.131950,23262
unknown,3519,,,25205,25175.868866,23277
unknown,3559,,,25210,25188.119361,23284
unknown,3599,,,25192,25178.220767,23275
unknown,3639,,,25216,25218.036606,23283
unknown,3679,,,25297,25301.747878,23313
unknown,3719,,,25380,25379.329055,23346
unknown,3759,,,25444,25461.628320,23371
unknown,3799,,,25492,25528.205295,23391
unknown,3839,,,25554,25568.831484,23412
unknown,3879,,,25599,25597.318127,23429
unknown,3919,,,25621,25604.013866,23437
unknown,3959,,,25643,25619.986664,23448
unknown,3999,,,25652,25646.336695,23455
unknown,4039,,,25685,25657.566692,23466
unknown,4079,,,25709,25659.957562,23471
unknown,4119,,,25593,25587.234726,23434
unknown,4159,,,25404,25429.051274,23366
unknown,4199,,,25334,25360.970338,23338
unknown,4239,,,25345,25376.845007,23348
unknown,4279,,,25364,25379.784774,23351
unknown,4319,,,25410,25405.121603,23367
unknown,4359,,,25436,25423.148445,23378
unknown,4399,,,25433,25423.475136,23376
unknown,4439,,,25446,25446.837249,23382
unknown,4479,,,25468,25484.787355,23391
unknown,4519,,,25505,25511.029777,23406
unknown,4559,,,25542,25528.997985,23418
unknown,4599,,,25587,25564.151283,23433
unknown,4639,,,25620,25613.297744,23449
unknown,4689,,,25651,25663.181808,23459
unknown,4729,,,25702,25717.923871,23478
unknown,4769,,,25739,25760.382845,23490
unknown,4809,,,25766,25787.276234,23501
unknown,4849,,,25803,25807.563099,23512
unknown,4889,,,25836,25815.670922,23525
unknown,4929,,,25842,25778.959737,23523
unknown,4969,,,25718,25693.255804,23478
unknown,5009,,,25542,25584.804718,23422
unknown,5049,,,25479,25500.975407,23405
unknown,5089,,,25495,25467.984894,23411
unknown,5129,,,25496,25487.308423,23411
unknown,5169,,,25507,25490.943397,23417
unknown,5209,,,25496,25482.270611,23411
unknown,5249,,,25452,25485.833236,23395
unknown,5289,,,25445,25487.062839,23393
unknown,5329,,,25484,25500.970159,23404
unknown,5369,,,25528,25527.837069,23423
unknown,5409,,,25557,25552.884460,23434
unknown,5449,,,25575,25578.295753,23442
unknown,5489,,,25605,25610.685368,23451
unknown,5529,,,25660,25647.843361,23472
unknown,5569,,,25725,25692.436575,23492
unknown,5609,,,25767,25745.436450,23504
unknown,5649,,,25806,25804.413533,23519
unknown,5689,,,25852,25870.318823,23533
unknown,5729,,,25896,25891.591130,23548
unknown,5769,,,25896,25862.828221,23553
unknown,5809,,,25757,25756.019231,23507
unknown,5849,,,25538,25550.768580,23426
unknown,5889,,,25419,25444.948917,23384
unknown,5929,,,25409,25439.183150,23383
unknown,5969,,,25410,25412.789279,23384
unknown,6009,,,25416,25408.312260,23385
unknown,6049,,,25416,25399.863150,23385
unknown,6089,,,25373,25375.190892,23368
unknown,6129,,,25361,25378.075491,23363
unknown,6169,,,25398,25400.725233,23374
unknown,6209,,,25450,25425.666685,23396
unknown,6249,,,25485,25458.384460,23409
unknown,6289,,,25508,25502.019604,23418
unknown,6329,,,25543,25554.759654,23428
unknown,6369,,,25578,25596.406137,23441
unknown,6409,,,25608,25624.980382,23456
unknown,6449,,,25640,25649.610108,23467
unknown,6489,,,25664,25664.352542,23476
unknown,6529,,,25684,25682.109821,23481
unknown,6569,,,25710,25703.292077,23493
unknown,6609,,,25702,25648.362480,23492
unknown,6649,,,25537,25512.716816,23435
unknown,6689,,,25320,25368.121607,23359
unknown,6729,,,25265,25314.791405,23337
unknown,6769,,,25340,25346.014484,23362
unknown,6809,,,25430,25446.963789,23393
unknown,6859,,,25520,25508.130928,23431
unknown,6899,,,25562,25512.513340,23446
