person_name,time_ms,ecg_raw,ecg_wavelet_db4_level3,ppg_ir_raw,ppg_ir_wavelet_db4_level3,ppg_red_raw
unknown,0,1222,1241.826864,,,
unknown,1,1287,1300.908561,,,
unknown,2,1394,1401.416859,,,
unknown,3,1535,1542.440163,,,
unknown,4,1718,1713.323445,,,
unknown,5,1894,1909.823111,,,
unknown,6,2059,2073.112996,,,
unknown,7,2193,2191.684595,,,
unknown,8,2295,2286.528732,,,
unknown,9,2352,2336.532551,,,
unknown,10,2352,2339.885861,,,
unknown,11,2294,2289.724453,,,
unknown,12,2176,2175.210335,,,
unknown,13,2015,1989.833674,,,
unknown,14,1828,1810.084735,,,
unknown,15,1627,1636.765642,,,
unknown,16,1440,1461.726562,,,
unknown,17,1291,1305.760171,,,
unknown,18,1198,1201.028030,,,
unknown,19,1159,1160.448277,,,
unknown,20,1173,1178.194664,,,
unknown,21,1250,1271.020480,,,
unknown,22,1371,1385.736689,,,
unknown,23,1535,1525.382017,,,
unknown,24,1717,1698.544164,,,
unknown,25,1894,1893.678765,,,
unknown,26,2064,2060.527929,,,
unknown,27,2201,2189.885057,,,
unknown,28,2307,2293.852153,,,
unknown,29,2365,2353.783853,,,
unknown,30,2371,2364.448320,,,
unknown,31,2310,2317.646927,,,
unknown,32,2198,2210.868966,,,
unknown,33,2045,2036.853607,,,
unknown,34,1875,1868.407639,,,
unknown,35,1687,1707.802098,,,
unknown,36,1511,1536.335585,,,
unknown,37,1369,1373.483831,,,
unknown,38,1274,1266.207022,,,
unknown,39,1237,1225.300813,,,
unknown,40,1250,1235.970506,,,
unknown,41,1310,1316.929652,,,
unknown,42,1412,1414.673766,,,
unknown,43,1535,1530.711711,,,
unknown,44,1712,1693.451781,,,
unknown,45,1872,1892.518860,,,
unknown,46,2017,2046.974558,,,
unknown,47,2141,2150.615119,,,
unknown,48,2240,2233.712741,,,
unknown,49,2290,2272.645650,,,
unknown,50,2289,2275.518729,,,
unknown,51,2245,2237.907053,,,
unknown,52,2145,2143.016956,,,
unknown,53,2011,1987.784886,,,
unknown,54,1854,1836.163343,,,
unknown,55,1680,1688.069684,,,
unknown,56,1510,1534.145019,,,
unknown,57,1378,1391.191700,,,
unknown,58,1293,1296.064904,,,
unknown,59,1255,1259.509950,,,
unknown,60,1269,1271.175109,,,
unknown,61,1328,1347.242736,,,
unknown,62,1426,1443.322825,,,
unknown,63,1572,1561.663767,,,
unknown,64,1727,1709.991752,,,
unknown,65,1882,1878.666921,,,
unknown,66,2021,2022.205223,,,
unknown,67,2145,2132.699428,,,
unknown,68,2238,2221.922996,,,
unknown,69,2285,2273.365613,,,
unknown,70,2287,2282.056057,,,
unknown,71,2231,2241.007750,,,
unknown,72,2137,2146.602182,,,
unknown,73,1999,1992.327145,,,
unknown,74,1853,1846.136313,,,
unknown,75,1690,1709.972902,,,
unknown,76,1535,1561.044665,,,
unknown,77,1412,1416.891284,,,
unknown,78,1331,1322.282459,,,
unknown,79,1297,1285.520658,,,
unknown,80,1312,1298.681274,,,
unknown,81,1371,1379.059054,,,
unknown,82,1470,1474.174819,,,
unknown,83,1600,1586.647770,,,
unknown,84,1743,1732.837174,,,
unknown,85,1882,1901.983526,,,
unknown,86,2012,2038.607623,,,
unknown,87,2128,2135.575519,,,
unknown,88,2210,2209.337262,,,
unknown,89,2259,2241.447440,,,
unknown,90,2258,2241.853559,,,
unknown,91,2211,2205.349452,,,
unknown,92,2117,2115.141198,,,
unknown,93,1995,1968.475054,,,
unknown,94,1840,1825.105508,,,
unknown,95,1675,1684.658496,,,
unknown,96,1517,1538.515243,,,
unknown,97,1389,1402.223792,,,
unknown,98,1311,1314.854298,,,
unknown,99,1283,1286.859069,,,
unknown,100,1303,1305.287055,,,
unknown,101,1365,1386.450070,,,
unknown,102,1471,1486.309754,,,
unknown,103,1615,1606.481328,,,
unknown,104,1775,1756.010013,,,
unknown,105,1929,1925.135278,,,
unknown,106,2066,2066.278835,,,
unknown,107,2183,2171.590240,,,
unknown,108,2267,2253.751099,,,
unknown,109,2309,2295.783485,,,
unknown,110,2303,2297.999697,,,
unknown,111,2245,2253.947863,,,
unknown,112,2142,2152.938702,,,
unknown,113,1997,1989.498922,,,
unknown,114,1840,1833.729591,,,
unknown,115,1667,1686.427072,,,
unknown,116,1506,1532.700601,,,
unknown,117,1387,1390.899723,,,
unknown,118,1307,1299.309313,,,
unknown,119,1281,1268.191710,,,
unknown,120,1300,1287.877867,,,
unknown,121,1366,1374.817486,,,
unknown,122,1473,1477.112140,,,
unknown,123,1613,1596.559280,,,
unknown,124,1754,1746.787878,,,
unknown,125,1897,1916.412889,,,
unknown,126,2029,2054.231488,,,
unknown,127,2144,2152.388845,,,
unknown,128,2224,2224.086129,,,
unknown,129,2269,2251.304129,,,
unknown,130,2263,2245.846228,,,
unknown,131,2206,2201.995128,,,
unknown,132,2106,2102.632387,,,
unknown,133,1971,1945.219956,,,
unknown,134,1813,1798.138673,,,
unknown,135,1653,1661.910797,,,
unknown,136,1500,1522.821072,,,
unknown,137,1387,1398.835802,,,
unknown,138,1314,1319.290124,,,
unknown,139,1291,1293.623988,,,
unknown,140,1313,1315.654962,,,
unknown,141,1378,1399.192457,,,
unknown,142,1483,1497.261709,,,
unknown,143,1620,1611.602111,,,
unknown,144,1777,1758.615583,,,
unknown,145,1929,1928.430185,,,
unknown,146,2067,2066.683762,,,
unknown,147,2180,2166.835057,,,
unknown,148,2261,2245.665542,,,
unknown,149,2298,2285.456372,,,
unknown,150,2287,2283.362196,,,
unknown,151,2224,2233.394753,,,
unknown,152,2111,2121.459170,,,
unknown,153,1950,1941.075479,,,
unknown,154,1776,1771.382616,,,
unknown,155,1594,1612.598339,,,
unknown,156,1424,1450.175895,,,
unknown,157,1299,1304.661182,,,
unknown,158,1232,1222.286175,,,
unknown,159,1226,1215.453832,,,
unknown,160,1278,1266.435453,,,
unknown,161,1391,1394.404079,,,
unknown,162,1535,1546.607155,,,
unknown,163,1742,1724.143263,,,
unknown,164,1936,1926.926135,,,
unknown,165,2127,2141.645900,,,
unknown,166,2283,2308.865382,,,
unknown,167,2402,2414.901882,,,
unknown,168,2470,2472.554508,,,
unknown,169,2480,2458.038618,,,
unknown,170,2405,2389.985768,,,
unknown,171,2267,2259.712323,,,
unknown,172,2073,2071.593868,,,
unknown,173,1849,1825.264667,,,
unknown,174,1613,1594.823332,,,
unknown,175,1377,1388.517285,,,
unknown,176,1185,1206.448025,,,
unknown,177,1064,1074.115057,,,
unknown,178,1008,1014.959035,,,
unknown,179,1043,1046.343827,,,
unknown,180,1147,1148.483568,,,
unknown,181,1313,1336.998456,,,
unknown,182,1530,1543.502851,,,
unknown,183,1773,1765.110578,,,
unknown,184,2030,2010.024815,,,
unknown,185,2263,2258.964104,,,
unknown,186,2462,2460.542171,,,
unknown,187,2610,2600.643060,,,
unknown,188,2693,2681.913703,,,
unknown,189,2698,2681.262858,,,
unknown,190,2614,2611.105266,,,
unknown,191,2450,2459.642849,,,
unknown,192,2231,2241.820253,,,
unknown,193,1968,1954.869978,,,
unknown,194,1683,1681.954250,,,
unknown,195,1412,1433.707464,,,
unknown,196,1189,1210.971244,,,
unknown,197,1039,1043.116644,,,
unknown,198,967,958.985178,,,
unknown,199,986,979.022283,,,
unknown,200,1097,1079.748698,,,
unknown,201,1271,1279.856282,,,
unknown,202,1503,1510.377241,,,
unknown,203,1783,1769.222230,,,
unknown,204,2061,2049.152621,,,
unknown,205,2317,2329.729832,,,
unknown,206,2532,2559.194729,,,
unknown,207,2704,2718.434621,,,
unknown,208,2806,2806.932268,,,
unknown,209,2817,2798.263032,,,
