person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,19,,23593,26085
unknown,59,,23600,26126
unknown,99,,23613,26157
unknown,139,,23627,26195
unknown,179,,23636,26236
unknown,219,,23649,26268
unknown,259,,23648,26265
unknown,299,,23619,26193
unknown,339,,23591,26111
unknown,379,,23583,26088
unknown,429,,23589,26096
unknown,469,,23598,26113
unknown,509,,23600,26127
unknown,549,,23593,26121
unknown,589,,23592,26099
unknown,629,,23587,26093
unknown,669,,23585,26110
unknown,709,,23598,26129
unknown,749,,23609,26144
unknown,789,,23622,26172
unknown,829,,23628,26194
unknown,869,,23635,26217
unknown,909,,23646,26219
unknown,949,,23646,26231
unknown,989,,23644,26233
unknown,1029,,23618,26159
unknown,1069,,23577,26046
unknown,1109,,23550,25987
unknown,1149,,23550,25990
unknown,1189,,23556,26001
unknown,1229,,23558,26014
unknown,1269,,23557,26012
unknown,1309,,23551,25985
unknown,1349,,23542,25973
unknown,1389,,23552,25984
unknown,1429,,23557,26000
unknown,1469,,23563,26011
unknown,1509,,23566,26013
unknown,1549,,23572,26034
unknown,1589,,23580,26060
unknown,1629,,23592,26096
unknown,1669,,23605,26140
unknown,1709,,23618,26180
unknown,1749,,23616,26175
unknown,1789,,23586,26095
unknown,1829,,23553,25998
unknown,1869,,23538,25965
unknown,1909,,23546,25998
unknown,1949,,23563,26035
unknown,1989,,23572,26062
unknown,2029,,23573,26069
unknown,2069,,23566,26041
unknown,2109,,23556,26017
unknown,2149,,23554,25996
unknown,2189,,23549,25985
unknown,2229,,23544,25965
unknown,2269,,23542,25951
unknown,2309,,23538,25937
unknown,2349,,23533,25923
unknown,2389,,23526,25902
unknown,2429,,23523,25893
unknown,2469,,23519,25874
unknown,2509,,23484,25778
unknown,2559,,23416,25591
unknown,2599,,23369,25469
unknown,2639,,23344,25407
unknown,2679,,23303,25315
unknown,2719,,23281,25254
unknown,2759,,23268,25236
unknown,2799,,23255,25204
unknown,2839,,23254,25196
unknown,2879,,23276,25234
unknown,2919,,23303,25293
unknown,2959,,23326,25351
unknown,2999,,23350,25423
unknown,3039,,23374,25480
unknown,3079,,23388,25524
unknown,3119,,23407,25582
unknown,3159,,23418,25609
unknown,3199,,23420,25611
unknown,3239,,23422,25611
unknown,3279,,23403,25553
unknown,3319,,23334,25361
unknown,3359,,23259,25158
unknown,3399,,23240,25116
unknown,3439,,23254,25137
unknown,3479,,23262,25161
