person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,19,,24766,26850
unknown,59,,24794,26920
unknown,99,,24760,26847
unknown,139,,24745,26807
unknown,179,,24770,26859
unknown,219,,24769,26866
unknown,259,,24788,26918
unknown,299,,24781,26891
unknown,339,,24685,26667
unknown,379,,24616,26495
unknown,419,,24573,26397
unknown,459,,24593,26446
unknown,499,,24643,26585
unknown,539,,24670,26647
unknown,579,,24680,26680
unknown,619,,24680,26681
unknown,659,,24669,26657
unknown,699,,24655,26606
unknown,739,,24635,26558
unknown,779,,24635,26551
unknown,819,,24636,26563
unknown,859,,24669,26640
unknown,899,,24687,26694
unknown,939,,24693,26717
unknown,979,,24692,26725
unknown,1019,,24682,26711
unknown,1059,,24670,26693
unknown,1099,,24688,26741
unknown,1139,,24685,26728
unknown,1179,,24648,26617
unknown,1219,,24582,26477
unknown,1259,,24552,26402
unknown,1299,,24556,26412
unknown,1339,,24560,26418
unknown,1379,,24589,26485
unknown,1419,,24602,26527
unknown,1459,,24597,26507
unknown,1499,,24595,26517
unknown,1539,,24588,26507
unknown,1579,,24548,26417
unknown,1619,,24514,26358
unknown,1659,,24528,26379
unknown,1699,,24515,26361
unknown,1739,,24528,26399
unknown,1779,,24572,26490
unknown,1819,,24613,26576
unknown,1859,,24618,26595
unknown,1899,,24608,26574
unknown,1939,,24575,26506
unknown,1989,,24495,26311
unknown,2029,,24432,26150
unknown,2069,,24384,26036
unknown,2109,,24357,25976
unknown,2149,,24359,25973
unknown,2189,,24317,25879
unknown,2229,,24282,25816
unknown,2269,,24291,25850
unknown,2309,,24295,25846
unknown,2349,,24267,25771
unknown,2389,,24216,25661
unknown,2429,,24162,25535
unknown,2469,,24116,25426
unknown,2509,,24186,25614
unknown,2549,,24352,25998
unknown,2589,,24279,25811
unknown,2629,,24163,25533
unknown,2669,,24143,25496
unknown,2709,,24037,25236
unknown,2749,,23913,24951
unknown,2789,,23989,25157
unknown,2829,,24072,25350
unknown,2869,,24083,25380
unknown,2909,,23995,25173
unknown,2949,,23847,24834
unknown,2989,,23637,24378
unknown,3029,,23688,24512
unknown,3069,,23981,25170
unknown,3109,,24180,25606
unknown,3149,,24257,25777
unknown,3189,,24325,25931
unknown,3229,,24373,26033
unknown,3269,,24406,26102
unknown,3309,,24450,26196
unknown,3349,,24456,26206
unknown,3389,,24419,26125
unknown,3429,,24355,25974
unknown,3469,,24208,25614
unknown,3509,,24158,25520
unknown,3549,,24205,25662
unknown,3589,,24348,25999
unknown,3629,,24434,26184
unknown,3669,,24429,26171
unknown,3709,,24410,26125
unknown,3749,,24397,26104
unknown,3789,,24345,25970
unknown,3829,,24317,25882
unknown,3869,,24272,25774
unknown,3909,,24133,25442
unknown,3949,,24075,25303
unknown,3989,,23896,24877
unknown,4029,,23682,24404
unknown,4069,,23835,24780
unknown,4109,,24061,25290
unknown,4159,,24129,25449
unknown,4199,,24109,25397
unknown,4239,,24057,25294
unknown,4279,,24019,25212
unknown,4319,,23946,25023
unknown,4359,,23935,25014
unknown,4399,,24017,25206
unknown,4439,,23952,25068
unknown,4479,,23936,25029
unknown,4519,,23991,25151
unknown,4559,,24071,25326
unknown,4599,,24158,25526
unknown,4639,,24321,25888
unknown,4679,,24283,25771
unknown,4719,,24051,25208
unknown,4759,,23778,24598
unknown,4799,,23665,24358
unknown,4839,,23657,24368
unknown,4879,,23795,24674
unknown,4919,,23968,25077
unknown,4959,,24245,25708
unknown,4999,,24424,26103
