person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,29,,23492,25640
unknown,69,,23500,25675
unknown,109,,23514,25705
unknown,149,,23521,25732
unknown,189,,23521,25750
unknown,229,,23511,25709
unknown,269,,23476,25608
unknown,309,,23452,25541
unknown,349,,23439,25520
unknown,389,,23410,25442
unknown,429,,23348,25272
unknown,469,,23298,25148
unknown,509,,23287,25132
unknown,549,,23282,25128
unknown,589,,23278,25121
unknown,629,,23267,25102
unknown,669,,23248,25047
unknown,709,,23215,24957
unknown,749,,23181,24860
unknown,789,,23143,24768
unknown,829,,23128,24738
unknown,869,,23158,24844
unknown,909,,23255,25096
unknown,949,,23318,25256
unknown,989,,23348,25330
unknown,1029,,23359,25352
unknown,1069,,23368,25354
unknown,1109,,23360,25321
unknown,1159,,23295,25118
unknown,1199,,23204,24892
unknown,1239,,23205,24909
unknown,1279,,23250,25035
unknown,1319,,23269,25067
unknown,1359,,23280,25123
unknown,1399,,23311,25206
unknown,1439,,23299,25168
unknown,1479,,23266,25071
unknown,1519,,23258,25056
unknown,1559,,23260,25075
unknown,1599,,23260,25079
unknown,1639,,23239,25033
unknown,1679,,23211,24974
unknown,1719,,23200,24952
unknown,1759,,23191,24939
unknown,1799,,23185,24933
unknown,1839,,23187,24948
unknown,1879,,23173,24902
unknown,1919,,23090,24703
unknown,1959,,23026,24541
unknown,1999,,23037,24566
unknown,2039,,23068,24651
unknown,2079,,23087,24712
unknown,2119,,23114,24793
unknown,2159,,23132,24834
unknown,2199,,23136,24855
unknown,2239,,23161,24912
unknown,2279,,23186,24989
unknown,2319,,23209,25061
unknown,2359,,23229,25115
unknown,2399,,23236,25132
unknown,2439,,23237,25132
unknown,2479,,23229,25103
unknown,2519,,23207,25042
unknown,2559,,23174,24967
unknown,2599,,23158,24935
unknown,2639,,23152,24923
unknown,2679,,23159,24956
unknown,2719,,23199,25066
unknown,2759,,23198,25064
unknown,2799,,23185,25030
unknown,2839,,23172,24981
unknown,2879,,23144,24923
unknown,2919,,23154,24958
unknown,2959,,23165,24989
unknown,2999,,23151,24969
unknown,3039,,23151,24967
unknown,3079,,23171,25021
unknown,3119,,23180,25055
unknown,3159,,23189,25084
unknown,3199,,23209,25130
unknown,3249,,23221,25169
unknown,3289,,23229,25184
unknown,3329,,23243,25217
unknown,3369,,23257,25264
unknown,3409,,23280,25335
unknown,3449,,23321,25449
unknown,3489,,23353,25549
unknown,3529,,23367,25592
unknown,3569,,23343,25510
unknown,3609,,23308,25408
unknown,3649,,23304,25392
unknown,3689,,23306,25405
unknown,3729,,23308,25418
unknown,3769,,23317,25441
unknown,3809,,23338,25497
unknown,3849,,23354,25557
unknown,3889,,23374,25609
unknown,3929,,23388,25648
unknown,3969,,23396,25675
