person_name,time_ms,ecg_raw,ppg_red_raw,ppg_ir_raw
unknown,0,1795,,
unknown,1,1808,,
unknown,2,1767,,
unknown,3,1801,,
unknown,4,1791,,
unknown,5,1770,,
unknown,6,1747,,
unknown,7,1732,,
unknown,8,1712,,
unknown,9,1700,,
unknown,10,1694,,
unknown,11,1683,,
unknown,12,1683,,
unknown,13,1691,,
unknown,14,1705,,
unknown,15,1712,,
unknown,16,1725,225,148
unknown,17,1738,,
unknown,18,1744,,
unknown,19,1751,,
unknown,20,1744,,
unknown,21,1727,,
unknown,22,1693,,
unknown,23,1647,,
unknown,24,1581,,
unknown,25,1490,,
unknown,26,1399,,
unknown,27,1298,,
unknown,28,1200,,
unknown,29,1103,,
unknown,30,997,,
unknown,31,911,,
unknown,32,835,,
unknown,33,774,,
unknown,34,731,,
unknown,35,706,,
unknown,36,706,,
unknown,37,727,,
unknown,38,768,,
unknown,39,838,,
unknown,40,926,,
unknown,41,1038,,
unknown,42,1153,,
unknown,43,1278,,
unknown,44,1413,,
unknown,45,1564,,
unknown,46,1728,,
unknown,47,1907,,
unknown,48,2118,,
unknown,49,2341,,
unknown,50,2589,,
unknown,51,2861,,
unknown,52,3184,,
unknown,53,3611,,
unknown,54,4095,,
unknown,55,4095,,
unknown,56,4095,226,148
unknown,57,4095,,
unknown,58,4095,,
unknown,59,4095,,
unknown,60,4095,,
unknown,61,4095,,
unknown,62,4095,,
unknown,63,4095,,
unknown,64,4095,,
unknown,65,4095,,
unknown,66,4095,,
unknown,67,4095,,
unknown,68,4095,,
unknown,69,4095,,
unknown,70,4095,,
unknown,71,4095,,
unknown,72,4095,,
unknown,73,4095,,
unknown,74,4095,,
unknown,75,4095,,
unknown,76,4095,,
unknown,77,3951,,
unknown,78,3559,,
unknown,79,3165,,
unknown,80,2803,,
unknown,81,2464,,
unknown,82,2136,,
unknown,83,1827,,
unknown,84,1555,,
unknown,85,1328,,
unknown,86,1168,,
unknown,87,1072,,
unknown,88,1034,,
unknown,89,1053,,
unknown,90,1106,,
unknown,91,1209,,
unknown,92,1331,,
unknown,93,1474,,
unknown,94,1627,,
unknown,95,1769,,
unknown,96,1898,227,148
unknown,97,2006,,
unknown,98,2098,,
unknown,99,2160,,
unknown,100,2194,,
unknown,101,2199,,
unknown,102,2176,,
unknown,103,2131,,
unknown,104,2070,,
unknown,105,1994,,
unknown,106,1907,,
unknown,107,1830,,
unknown,108,1752,,
unknown,109,1685,,
unknown,110,1634,,
unknown,111,1593,,
unknown,112,1569,,
unknown,113,1557,,
unknown,114,1562,,
unknown,115,1583,,
unknown,116,1601,,
unknown,117,1629,,
unknown,118,1661,,
unknown,119,1689,,
unknown,120,1714,,
unknown,121,1739,,
unknown,122,1744,,
unknown,123,1744,,
unknown,124,1737,,
unknown,125,1721,,
unknown,126,1700,,
unknown,127,1683,,
unknown,128,1666,,
unknown,129,1654,,
unknown,130,1645,,
unknown,131,1637,,
unknown,132,1635,,
unknown,133,1641,,
unknown,134,1647,,
unknown,135,1657,,
unknown,136,1674,226,147
unknown,137,1684,,
unknown,138,1701,,
unknown,139,1715,,
unknown,140,1732,,
unknown,141,1739,,
unknown,142,1739,,
unknown,143,1730,,
unknown,144,1717,,
unknown,145,1699,,
unknown,146,1680,,
unknown,147,1662,,
unknown,148,1651,,
unknown,149,1642,,
unknown,150,1635,,
unknown,151,1634,,
unknown,152,1635,,
unknown,153,1645,,
unknown,154,1660,,
unknown,155,1676,,
unknown,156,1693,,
unknown,157,1712,,
unknown,158,1729,,
unknown,159,1745,,
unknown,160,1755,,
unknown,161,1762,,
unknown,162,1759,,
unknown,163,1746,,
unknown,164,1733,,
unknown,165,1712,,
unknown,166,1691,,
unknown,167,1676,,
unknown,168,1663,,
unknown,169,1654,,
unknown,170,1649,,
unknown,171,1648,,
unknown,172,1651,,
unknown,173,1659,,
unknown,174,1676,,
unknown,175,1691,,
unknown,176,1707,226,148
unknown,177,1718,,
unknown,178,1737,,
unknown,179,1749,,
unknown,180,1760,,
unknown,181,1763,,
unknown,182,1760,,
unknown,183,1750,,
unknown,184,1737,,
unknown,185,1719,,
unknown,186,1700,,
unknown,187,1680,,
unknown,188,1669,,
unknown,189,1665,,
unknown,190,1659,,
unknown,191,1659,,
unknown,192,1666,,
unknown,193,1680,,
unknown,194,1696,,
unknown,195,1712,,
unknown,196,1728,,
unknown,197,1746,,
unknown,198,1761,,
unknown,199,1777,,
unknown,200,1789,,
unknown,201,1789,,
unknown,202,1781,,
unknown,203,1773,,
unknown,204,1754,,
unknown,205,1734,,
unknown,206,1712,,
unknown,207,1693,,
unknown,208,1680,,
unknown,209,1670,,
unknown,210,1665,,
unknown,211,1667,,
unknown,212,1674,,
unknown,213,1682,,
unknown,214,1701,,
unknown,215,1719,,
unknown,216,1741,226,146
unknown,217,1755,,
unknown,218,1776,,
unknown,219,1792,,
unknown,220,1804,,
unknown,221,1808,,
unknown,222,1801,,
unknown,223,1787,,
unknown,224,1770,,
unknown,225,1746,,
unknown,226,1724,,
unknown,227,1709,,
unknown,228,1692,,
unknown,229,1680,,
unknown,230,1674,,
unknown,231,1671,,
unknown,232,1674,,
unknown,233,1683,,
unknown,234,1695,,
unknown,235,1711,,
unknown,236,1725,,
unknown,237,1743,,
unknown,238,1758,,
unknown,239,1775,,
unknown,240,1781,,
unknown,241,1783,,
unknown,242,1777,,
unknown,243,1773,,
unknown,244,1754,,
unknown,245,1734,,
unknown,246,1712,,
unknown,247,1695,,
unknown,248,1683,,
unknown,249,1680,,
unknown,250,1674,,
unknown,251,1673,,
unknown,252,1679,,
unknown,253,1683,,
unknown,254,1701,,
unknown,255,1718,,
unknown,256,1735,227,149
unknown,257,1747,,
unknown,258,1763,,
unknown,259,1776,,
unknown,260,1782,,
unknown,261,1786,,
unknown,262,1779,,
unknown,263,1771,,
unknown,264,1751,,
unknown,265,1733,,
unknown,266,1713,,
unknown,267,1695,,
unknown,268,1680,,
unknown,269,1670,,
unknown,270,1662,,
unknown,271,1663,,
unknown,272,1661,,
unknown,273,1664,,
unknown,274,1678,,
unknown,275,1687,,
unknown,276,1706,,
unknown,277,1723,,
unknown,278,1742,,
unknown,279,1758,,
unknown,280,1767,,
unknown,281,1773,,
unknown,282,1770,,
unknown,283,1761,,
unknown,284,1747,,
unknown,285,1728,,
unknown,286,1711,,
unknown,287,1697,,
unknown,288,1685,,
unknown,289,1679,,
unknown,290,1669,,
unknown,291,1669,,
unknown,292,1669,,
unknown,293,1677,,
unknown,294,1687,,
unknown,295,1703,,
unknown,296,1718,226,150
unknown,297,1738,,
unknown,298,1757,,
unknown,299,1776,,
unknown,300,1785,,
unknown,301,1791,,
unknown,302,1791,,
unknown,303,1785,,
unknown,304,1776,,
unknown,305,1761,,
unknown,306,1743,,
unknown,307,1728,,
unknown,308,1719,,
unknown,309,1713,,
unknown,310,1710,,
unknown,311,1711,,
unknown,312,1712,,
unknown,313,1718,,
unknown,314,1727,,
unknown,315,1741,,
unknown,316,1754,,
unknown,317,1773,,
unknown,318,1790,,
unknown,319,1806,,
unknown,320,1813,,
unknown,321,1823,,
unknown,322,1828,,
unknown,323,1822,,
unknown,324,1811,,
unknown,325,1805,,
unknown,326,1791,,
unknown,327,1777,,
unknown,328,1769,,
unknown,329,1763,,
unknown,330,1755,,
unknown,331,1753,,
unknown,332,1751,,
unknown,333,1751,,
unknown,334,1762,,
unknown,335,1771,,
unknown,336,1777,227,150
unknown,337,1794,,
unknown,338,1804,,
unknown,339,1815,,
unknown,340,1826,,
unknown,341,1829,,
unknown,342,1829,,
unknown,343,1820,,
unknown,344,1807,,
unknown,345,1792,,
unknown,346,1775,,
unknown,347,1762,,
unknown,348,1754,,
unknown,349,1745,,
unknown,350,1743,,
unknown,351,1739,,
unknown,352,1743,,
unknown,353,1744,,
unknown,354,1751,,
unknown,355,1760,,
unknown,356,1771,,
unknown,357,1777,,
unknown,358,1792,,
unknown,359,1807,,
unknown,360,1814,,
unknown,361,1820,,
unknown,362,1819,,
unknown,363,1809,,
unknown,364,1798,,
unknown,365,1785,,
unknown,366,1770,,
unknown,367,1760,,
unknown,368,1753,,
unknown,369,1745,,
unknown,370,1744,,
unknown,371,1745,,
unknown,372,1745,,
unknown,373,1756,,
unknown,374,1762,,
unknown,375,1776,,
unknown,376,1789,227,148
unknown,377,1795,,
unknown,378,1808,,
unknown,379,1814,,
unknown,380,1818,,
unknown,381,1815,,
unknown,382,1809,,
unknown,383,1802,,
unknown,384,1782,,
unknown,385,1765,,
unknown,386,1749,,
unknown,387,1739,,
unknown,388,1729,,
unknown,389,1725,,
unknown,390,1722,,
unknown,391,1726,,
unknown,392,1728,,
unknown,393,1739,,
unknown,394,1750,,
unknown,395,1767,,
unknown,396,1787,,
unknown,397,1802,,
unknown,398,1810,,
unknown,399,1825,,
unknown,400,1833,,
unknown,401,1831,,
unknown,402,1823,,
unknown,403,1808,,
unknown,404,1789,,
unknown,405,1768,,
unknown,406,1745,,
